id,content_id,type,likes,engagement_date,campaign_id,product_id,views,clicks
805,10,Social Media,0,2025-12-20,17,9,10,0
3512,43,Newsletter,0,2025-12-15,11,16,10,0
1305,13,Video,22,2023-04-10,20,11,1000,119
2594,50,Video,3,2025-08-04,9,6,1000,65
1516,50,Blog,2,2025-06-26,20,7,1001,76
1966,24,Newsletter,8,2025-05-26,4,11,1001,89
2998,17,Video,0,2025-08-20,11,6,1003,18
1601,44,Newsletter,2,2025-08-11,10,16,1003,51
664,2,Newsletter,6,2024-04-09,15,18,1005,104
4318,5,Blog,67,2023-10-29,11,4,1006,247
2473,5,Video,5,2024-07-22,19,17,1006,48
1611,17,Social Media,14,2025-02-20,17,1,1007,115
3532,10,Video,1,2025-08-25,5,9,1007,52
1407,17,Video,4,2025-06-05,13,3,1008,58
2869,12,Social Media,2,2025-04-29,16,7,1009,54
2872,14,Newsletter,15,2024-08-02,10,3,1009,77
4286,41,Social Media,33,2024-02-25,1,5,1010,128
30,29,Newsletter,14,2024-09-10,20,17,1010,196
3536,47,Video,2,2025-06-02,7,11,1010,39
1327,44,Social Media,1,2025-06-10,6,6,1010,43
424,47,Video,0,2025-11-20,2,9,101,1
169,26,Newsletter,1,2024-10-18,10,2,101,11
4575,27,Blog,6,2024-12-27,16,18,1011,160
4332,16,Video,2,2025-07-08,7,20,1011,55
2537,38,Social Media,5,2025-04-30,5,13,1012,107
2420,3,Newsletter,18,2024-11-27,13,12,1012,119
547,34,Newsletter,0,2025-07-26,5,3,1014,16
685,21,Newsletter,66,2023-09-12,4,16,1017,290
2725,9,Video,1,2025-08-23,6,11,1020,27
3457,44,Social Media,0,2025-11-24,11,2,102,1
738,11,Social Media,28,2024-05-07,15,10,1022,108
2399,30,Newsletter,4,2025-04-25,20,18,1022,112
1136,41,Video,120,2023-01-14,6,20,1022,265
3303,22,Video,9,2023-02-14,11,20,102,30
3786,17,Blog,71,2023-02-17,3,19,1023,218
2452,17,Social Media,5,2025-06-10,3,18,1023,87
3520,27,Newsletter,0,2025-10-10,13,20,102,4
4368,43,Video,5,2025-01-30,10,17,1024,97
2639,3,Video,1,2024-06-07,3,18,102,5
2634,12,Newsletter,1,2025-06-24,3,6,1026,23
299,14,Social Media,48,2023-06-22,14,20,1026,320
2715,6,Blog,24,2023-09-16,20,17,1028,106
856,39,Blog,32,2024-11-19,16,15,1028,173
2371,25,Blog,2,2025-07-16,19,14,1028,77
1590,44,Newsletter,0,2025-09-04,8,11,1029,15
2801,32,Newsletter,65,2023-04-28,17,15,1030,243
1031,44,Newsletter,18,2024-09-22,2,5,1031,142
1053,44,Social Media,0,2025-09-11,14,3,103,2
3679,44,Video,2,2025-06-16,3,7,1033,71
4469,43,Newsletter,1,2025-07-20,13,6,1034,56
3279,28,Blog,14,2025-01-02,10,7,1034,93
2079,19,Social Media,2,2025-07-05,18,7,1035,38
2144,49,Newsletter,9,2025-04-03,2,13,1037,110
21,26,Blog,7,2024-12-28,1,6,1037,111
1347,19,Video,5,2025-01-28,11,4,1037,133
1997,39,Video,29,2024-01-17,11,11,1039,162
646,43,Blog,44,2024-05-07,17,15,1039,224
3977,50,Social Media,159,2023-01-01,8,2,1039,351
1439,39,Video,1,2025-07-13,5,3,1040,19
2097,48,Newsletter,22,2024-11-24,6,3,1041,153
1330,17,Blog,1,2025-08-23,10,15,1041,48
612,4,Newsletter,3,2025-06-01,12,16,1041,88
2520,48,Blog,9,2025-04-06,7,7,1041,92
2583,18,Blog,0,2025-11-11,4,8,104,2
1837,5,Blog,39,2023-04-09,12,16,1042,241
1847,36,Social Media,0,2025-08-31,1,8,1043,13
1737,20,Blog,5,2025-01-27,6,10,1043,146
3942,2,Newsletter,127,2023-06-23,12,3,1043,332
2335,49,Video,5,2025-04-27,8,5,1043,55
4416,25,Newsletter,0,2025-12-19,18,20,104,4
431,20,Video,0,2025-08-21,20,16,1044,14
1505,41,Video,16,2024-12-15,4,9,1046,97
4101,44,Blog,47,2024-08-09,8,8,1047,228
2236,32,Social Media,32,2024-03-28,4,14,1049,175
1932,28,Social Media,1,2025-07-19,4,15,1049,29
1442,17,Blog,0,2025-07-23,1,11,1049,30
974,4,Newsletter,1,2025-08-19,20,17,1050,52
2567,12,Social Media,4,2024-07-17,5,6,105,24
179,25,Video,3,2025-05-04,19,19,1052,65
446,34,Newsletter,2,2025-06-22,5,9,1053,48
3832,43,Social Media,6,2025-03-15,16,12,1053,93
2405,5,Social Media,155,2023-02-23,13,12,1055,398
300,8,Newsletter,8,2024-02-25,8,14,1055,66
4211,28,Blog,8,2024-01-03,19,4,1056,95
321,27,Social Media,5,2025-06-21,15,12,1057,58
736,17,Blog,1,2025-08-08,5,11,1060,41
4455,24,Blog,18,2023-08-04,7,18,1062,192
560,33,Video,27,2024-05-21,19,20,1062,235
233,30,Social Media,0,2025-08-05,1,11,1063,20
422,46,Blog,1,2025-08-22,15,8,1064,63
4127,12,Social Media,25,2024-03-03,10,18,1065,125
2994,19,Blog,4,2025-01-15,1,9,1065,41
1666,3,Social Media,0,2025-03-13,5,2,106,6
50,43,Social Media,11,2024-06-23,15,14,1066,110
2290,46,Social Media,24,2024-11-14,4,17,1066,160
116,35,Video,0,2025-03-15,1,19,106,7
3484,39,Newsletter,91,2024-02-13,1,16,1067,322
4592,33,Blog,1,2024-01-03,20,13,106,8
2762,44,Blog,0,2025-08-31,3,19,1069,20
3145,15,Blog,20,2024-11-25,16,1,1070,128
1310,39,Social Media,19,2024-08-01,12,17,1071,108
2122,27,Newsletter,14,2025-04-09,1,20,1071,129
3656,29,Blog,3,2025-01-27,20,4,1073,52
2229,22,Blog,12,2024-09-20,14,5,1073,74
4167,31,Blog,0,2025-08-30,12,14,1075,32
