id,content_id,type,likes,engagement_date,campaign_id,product_id,views_clicks
805,10,SOCIALMEDIA,0,12/20/2025,17,9,Oct-00
3512,43,Newsletter,0,12/15/2025,11,16,Oct-00
1305,13,video,22,4/10/2023,20,11,1000-119
2594,50,Video,3,8/4/2025,9,6,1000-65
1516,50,BLOG,2,6/26/2025,20,7,1001-76
1966,24,Newsletter,8,5/26/2025,4,11,1001-89
2998,17,video,0,8/20/2025,11,6,1003-18
1601,44,newsletter,2,8/11/2025,10,16,1003-51
664,2,NEWSLETTER,6,4/9/2024,15,18,1005-104
4318,5,BLOG,67,10/29/2023,11,4,1006-247
2473,5,Video,5,7/22/2024,19,17,1006-48
1611,17,socialmedia,14,2/20/2025,17,1,1007-115
3532,10,VIDEO,1,8/25/2025,5,9,1007-52
1407,17,video,4,6/5/2025,13,3,1008-58
2869,12,Socialmedia,2,4/29/2025,16,7,1009-54
2872,14,newsletter,15,8/2/2024,10,3,1009-77
4286,41,Socialmedia,33,2/25/2024,1,5,1010-128
30,29,Newsletter,14,9/10/2024,20,17,1010-196
3536,47,Video,2,6/2/2025,7,11,1010-39
1327,44,SOCIALMEDIA,1,6/10/2025,6,6,1010-43
424,47,video,0,11/20/2025,2,9,101-1
169,26,newsletter,1,10/18/2024,10,2,101-11
4575,27,Blog,6,12/27/2024,16,18,1011-160
4332,16,Video,2,7/8/2025,7,20,1011-55
2537,38,Socialmedia,5,4/30/2025,5,13,1012-107
2420,3,Newsletter,18,11/27/2024,13,12,1012-119
547,34,Newsletter,0,7/26/2025,5,3,1014-16
685,21,NEWSLETTER,66,9/12/2023,4,16,1017-290
2725,9,VIDEO,1,8/23/2025,6,11,1020-27
3457,44,Socialmedia,0,11/24/2025,11,2,102-1
738,11,SOCIALMEDIA,28,5/7/2024,15,10,1022-108
2399,30,NEWSLETTER,4,4/25/2025,20,18,1022-112
1136,41,video,120,1/14/2023,6,20,1022-265
3303,22,Video,9,2/14/2023,11,20,102-30
3786,17,Blog,71,2/17/2023,3,19,1023-218
2452,17,socialmedia,5,6/10/2025,3,18,1023-87
3520,27,newsletter,0,10/10/2025,13,20,102-4
4368,43,Video,5,1/30/2025,10,17,1024-97
2639,3,video,1,6/7/2024,3,18,102-5
2634,12,NEWSLETTER,1,6/24/2025,3,6,1026-23
299,14,Socialmedia,48,6/22/2023,14,20,1026-320
2715,6,blog,24,9/16/2023,20,17,1028-106
856,39,BLOG,32,11/19/2024,16,15,1028-173
2371,25,Blog,2,7/16/2025,19,14,1028-77
1590,44,newsletter,0,9/4/2025,8,11,1029-15
2801,32,newsletter,65,4/28/2023,17,15,1030-243
1031,44,newsletter,18,9/22/2024,2,5,1031-142
1053,44,Socialmedia,0,9/11/2025,14,3,103-2
